gnbid,type,timestamp,MM5G_NULL,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000190,1,1686425935876376000,0.043264,0.82304,0.051968,5585.873664,8668.709632,8689.664768
0000000316,1,1686425935884160800,0.028672,0.264192,0.02944,5646.765824,8749.158656,8770.378752
0000000255,1,1686425935997139500,0.0448,0.511744,0.045824,5542.707968,8605.33888,8626.630912
0000000191,1,1686425936076652500,0.04352,0.645376,0.0448,5440.906752,7949.27488,7970.454016
0000000317,1,1686425936084362000,0.046848,0.653312,0.048128,5490.319104,8555.601152,8576.688896
0000000256,1,1686425936197362000,0.04352,0.487424,0.044544,5382.625024,8426.927872,8448.066816
0000000192,1,1686425936276859000,0.0384,0.351744,0.039424,5287.03104,8336.361984,8357.952768
0000000318,1,1686425936284520400,0.059136,0.488448,0.059904,5331.367168,8404.143872,8424.978176
0000000257,1,1686425936397598200,0.046336,0.441856,0.04736,5229.253632,8283.26272,8305.509632
0000000193,1,1686425936477107000,0.037888,0.578048,0.038912,5121.932288,8137.922816,8159.689728
0000000319,1,1686425936484638200,0.040704,0.645376,0.041472,5168.177152,8222.159104,8243.23968
0000000258,1,1686425936597673500,0.041216,0.270848,0.041984,5062.444544,8096.983808,8118.54592
0000000194,1,1686425936677258500,0.041472,0.698112,0.04224,4968.514048,7986.325248,8007.274752
0000000320,1,1686425936684812300,0.0384,0.261376,0.039168,4986.769152,8040.09216,8060.96128
0000000259,1,1686425936797972200,0.040704,0.447232,0.041984,4885.619712,7914.47168,7935.679744
0000000195,1,1686425936877482800,0.036864,0.649472,0.037888,4858.915584,7849.956096,7871.13728
0000000321,1,1686425936885004500,0.10624,0.746752,0.110848,4824.733952,7853.316096,7874.404608
0000000260,1,1686425936998212400,0.046336,0.601344,0.04736,4716.421632,7736.601344,7757.50528
0000000196,1,1686425937077674800,0.0384,0.658944,0.039424,4622.316544,7620.222464,7641.48608
0000000322,1,1686425937085171200,0.038144,0.417536,0.039424,4666.340096,7672.07424,7693.077248
0000000261,1,1686425937198348000,0.042496,0.463872,0.043264,4561.368832,7550.392064,7571.407104
0000000197,1,1686425937277906700,0.044032,0.494336,0.045056,4466.056448,7201.148928,7222.377472
0000000323,1,1686425937285387800,0.041216,2.139392,0.042496,4490.168576,7490.775296,7512.293632
0000000262,1,1686425937398572800,0.05888,0.441088,0.059904,4385.335296,7356.154368,7377.029376
0000000198,1,1686425937478073000,0.038912,0.584192,0.039936,4293.227008,7271.572992,7293.273856
0000000324,1,1686425937485639400,0.034816,0.51968,0.03584,4324.940032,7293.816832,7315.136
0000000263,1,1686425937598808600,0.082688,0.494336,0.083456,4219.843584,6467.454208,6488.51712
0000000199,1,1686425937678228200,0.043776,0.466688,0.0448,4120.492544,7234.451456,7255.71968
0000000325,1,1686425937685858800,0.036096,0.373248,0.036864,4142.585856,6890.830848,6911.759872
0000000264,1,1686425937799088600,0.031488,0.417024,0.032,4037.825792,6993.53984,7014.635264
0000000326,1,1686425937886093000,0.036608,0.497152,0.03712,3955.44192,6923.385088,6944.237824
0000000265,1,1686425937999187700,0.04352,0.43136,0.044288,3853.694976,6792.817152,6814.002176
0000000327,1,1686425938086381800,0.045568,0.602368,0.046592,3771.655168,6715.109632,6736.210432
0000000266,1,1686425938199454000,0.043264,2.798592,0.044032,3667.96544,6624.28032,6644.992
0000000328,1,1686425938286521000,0.06784,0.445952,0.068864,3586.804992,6533.037056,6553.995008
